Cpd,Show/Hide,File,Label,RT,Base Peak,Area,Height,Width,Mining Algorithm
7,True,Sample_neg_2-2.d,Cpd 7: 14.142 112.9,14.142,112.9,212147,52540,0.168,Find by Integration
8,True,Sample_neg_1-3.d,Cpd 8: 14.158 113.0,14.158,113,2212759,105332,0.713,Find by Integration
8,True,Sample_neg_2-1.d,Cpd 8: 14.188 520.9,14.188,520.9,2073838,111552,0.551,Find by Integration
5,True,Blank_neg_1-1.d,Cpd 5: 14.255 112.9,14.255,112.9,978604,79646,0.398,Find by Integration
8,True,Sample_neg_2-2.d,Cpd 8: 14.262 249.0,14.262,249,572779,64104,0.225,Find by Integration
8,True,Sample_neg_2-3.d,Cpd 8: 14.300 384.6,14.3,384.6,912412,68396,0.428,Find by Integration
7,True,Blank_neg_1-2.d,Cpd 7: 14.315 113.0,14.315,113,1998473,119165,0.518,Find by Integration
6,True,Sample_neg_3-1.d,Cpd 6: 14.353 112.9,14.353,112.9,2773852,107042,0.794,Find by Integration
9,True,Sample_neg_3-3.d,Cpd 9: 14.382 317.0,14.382,317,2795365,106378,0.714,Find by Integration
9,True,Sample_neg_3-2.d,Cpd 9: 14.383 113.1,14.383,113.1,3570422,113863,0.969,Find by Integration
15,True,Blank_01-2.d,Cpd 15: 14.422 122.6,14.422,122.6,6980422,314001,0.759,Find by Integration
11,True,Sample_2-2.d,Cpd 11: 14.422 124.0,14.422,124,118144,98232,0.045,Find by Integration
10,True,Sample_2-1.d,Cpd 10: 14.452 123.8,14.452,123.8,35432,98584,0.015,Find by Integration
5,True,Blank_neg_01-1.d,Cpd 5: 14.459 190.9,14.459,190.9,753219,72626,0.355,Find by Integration
22,True,Blank_01-1.d,Cpd 22: 14.475 122.9,14.475,122.9,10436866,490207,0.764,Find by Integration
9,True,Sample_neg_2-1.d,Cpd 9: 14.511 122.7,14.511,122.7,682295,74514,0.24,Find by Integration
9,True,Sample_neg_2-3.d,Cpd 9: 14.556 122.6,14.556,122.6,374757,36870,0.271,Find by Integration
8,True,Blank_neg_1-2.d,Cpd 8: 14.578 122.8,14.578,122.8,766482,98887,0.271,Find by Integration
6,True,Blank_neg_1-1.d,Cpd 6: 14.593 113.0,14.593,113,69771,42237,0.075,Find by Integration
9,True,Sample_1-1.d,Cpd 9: 14.746 122.7,14.746,122.7,7910069,252928,0.909,Find by Integration
12,True,Sample_2-2.d,Cpd 12: 14.843 123.8,14.843,123.8,236580,112542,0.068,Find by Integration
12,True,Sample_1-3.d,Cpd 12: 14.888 122.7,14.888,122.7,4881873,208648,0.757,Find by Integration
14,True,Sample_1-2.d,Cpd 14: 14.903 122.7,14.903,122.7,8376582,228974,1.291,Find by Integration
8,True,Blank_1-1.d,Cpd 8: 14.911 122.6,14.911,122.6,3151819,131689,0.796,Find by Integration
12,True,Sample_3-1.d,Cpd 12: 14.956 123.1,14.956,123.1,95255,88995,0.038,Find by Integration
13,True,Sample_3-1.d,Cpd 13: 15.121 124.1,15.121,124.1,1743104,106951,0.594,Find by Integration
10,True,Sample_2-3.d,Cpd 10: 15.346 122.6,15.346,122.6,124716,83112,0.068,Find by Integration
14,True,Sample_3-3.d,Cpd 14: 15.587 123.0,15.587,123,88799,100927,0.045,Find by Integration
7,True,Blank_neg_01-2.d,Cpd 7: 16.525 162.9,16.525,162.9,59821,38229,0.06,Find by Integration
23,True,Blank_01-1.d,Cpd 23: 16.647 116.6,16.647,116.6,250411,96661,0.09,Find by Integration
